ID,Username,Age,Country,CreationDate,Description,FollowerCount,PostCount,Language
244,cynthiahiggins,19,Netherlands,07/05/2015 09:11 PM,"The author is a sports journalist and has worked for the BBC, the Guardian",3251,42,NED
245,iward,51,Netherlands,03/21/2016 08:43 AM,"The first ever online game of the year, the World Cup of Hockey,",5392,9,NED
246,ajordan,69,,12/31/2015 05:09 AM,The first thing you need to know about this guy is that he's,2668,28,RUS
247,1953_hendersoncharles,40,Germany,03/14/2017 10:30 PM,"The Republican Party is the party of the people, the party of the people",5813,8,GER
248,1967_adean,28,Russia,08/12/2014 11:50 AM,"The Republican Party is the party of the people, the party of the",5625,19,ITA
249,1995_john64,18,Russia,09/04/2019 10:32 AM,"The first of the two main events of the year, the annual John",3888,3,RUS
250,derekbradley,45,France,08/15/2016 08:43 PM,"Derek Bradley is a writer, editor, and publisher. He is",6462,28,FRE
251,james95_1954,33,China,11/09/2020 12:47 AM,"The Republican Party is the party of the people, the party of the",1297,13,MAN
252,dclark,19,Japan,05/28/2008 11:04 AM,"The first female president of the United States, Michelle Obama, is a former",10041,62,GER
253,rfarrell,77,Italy,09/08/2008 03:09 PM,The author is a veterinarian and a wildlife biologist. He is a member of,16029,54,ITA
254,masonaustin,39,UK,07/14/2009 12:11 PM,The job is to be a part of the team that is responsible,20082,48,ENG
255,petersonrebekah,,France,11/11/2012 12:07 PM,I am a full time student at the University of the West Indies,10895,51,ENG
256,1990_grayamy,,USA,04/06/2016 05:49 PM,I am a senior in high school and I am looking for a job.,4499,105,JAP
257,sherrywood,27,France,07/25/2008 12:30 AM,The first thing you should know about this site is that it is a photo,6579,44,FRE
258,1983_scott32,20,Netherlands,03/27/2022 07:54 AM,The first of the two-part series on the history of the British,1747,2,RUS
259,gvasquez,45,USA,05/28/2023 05:04 AM,"The first of the two new series, Taking Images, will be a",250,0,MAN
260,ericatownsend_1973,,France,02/02/2010 04:49 PM,"The first of the three-story, two-story, and one",1769,59,ENG
261,ymartinez,30,Netherlands,05/24/2023 02:14 PM,"The former U.S. ambassador to Ukraine, Marie Yovanovitch",34,433,GER
262,1951_qmitchell,28,France,07/06/2022 04:06 PM,"The Republican Party is the party of the people, the party of the",1917,5,FRE
263,sarah03,,France,01/22/2016 09:06 AM,The author is a former Republican member of the U.S. House of,10391,10,JAP
264,christinabrown,38,France,06/03/2021 08:06 AM,"I am a passionate traveller, I love to travel and I love",2298,11,FRE
265,melinda51_1983,28,UK,10/11/2023 03:47 AM,"The first woman to be elected to the U.S. Senate,",402,1,JAP
266,1960_dmayo,,Germany,09/10/2021 05:29 AM,"The company is a leading provider of high-quality, high-tech,",1220,0,GER
267,jasminelewis,23,Italy,06/26/2023 02:46 AM,The first ever international competition for the best dog and cat agility teams in the,607,1,ITA
268,daniellekeller,33,UK,05/20/2020 11:19 AM,"The author is a sports journalist and has worked for the BBC, the Guardian",4282,22,MAN
269,carlaschwartz,28,France,06/14/2009 10:36 AM,"The first time I met her, I was in a bar in",4940,22,FRE
270,1999_bking,52,UK,03/13/2022 12:27 AM,"The game of chess is a game of strategy, tactics, and luck.",617,1,ENG
271,1951_davisalexis,21,USA,03/13/2013 10:50 PM,"The Republican Party is the party of the people, the party of the people",5266,55,ENG
272,gregoryserrano,64,UK,12/31/2011 04:02 PM,The former head of the U.S. Department of State's Bureau of,1388,67,MAN
273,2000_paulcampbell,26,Russia,11/17/2020 11:36 PM,The author is a political scientist and a writer. He is currently working on,1959,1,RUS
274,gomezjodi,,China,10/20/2011 11:13 AM,The most important thing is to be able to play the game.,9094,15,MAN
275,jennifer68,36,Russia,10/12/2022 08:42 AM,"I am a full time student at the University of California, Berkeley. I",1061,3,RUS
276,greenbarry_1989,,China,03/02/2018 08:43 AM,The annual meeting of the American Society of Civil Engineers (ASCE is,2286,2,MAN
277,phayes,38,France,07/17/2020 03:52 PM,"The first ever conference on the subject of the future of the Internet, the",2713,2,JAP
278,michael08_1956,,Italy,11/07/2015 10:12 PM,Michael is a senior software engineer at a large software company. He is a,3287,44,RUS
279,bryantodd,29,China,09/05/2013 04:52 AM,The author is a retired veterinarian and has been a professional writer for over 30,14125,31,FRE
280,fpatel,33,China,02/09/2011 05:03 AM,I am a professional photographer and I am also a writer. I,16747,36,MAN
281,scottjames_1966,67,China,09/13/2018 07:40 AM,Scott James is a photographer and writer based in the UK. He has been,9631,8,MAN
282,1951_brightgregory,,USA,11/22/2014 01:14 AM,"The first of the two new stadiums in the United States, the new",3286,38,ENG
283,vanessalee,18,Italy,06/20/2018 02:51 AM,"I am a professional photographer, I have been working in the field",2735,9,ITA
284,jordanmelanie,71,Japan,08/30/2015 09:52 AM,The game of the year is back! The game of the year is back,10261,25,JAP
285,1998_tsmith,,Netherlands,10/06/2018 08:27 PM,I am a recent graduate from the University of Michigan with a degree in English,9625,27,NED
286,ffreeman,31,USA,12/17/2013 11:02 AM,The first part of the course will be devoted to the study of the animal,25777,45,ENG
287,juanlewis,46,USA,03/05/2009 11:10 AM,I am a travel writer and photographer. I have been traveling for,14088,60,ENG
288,1996_dawnmorales,57,China,10/09/2023 07:42 PM,The first day of the new year is a time for reflection and celebration.,23,1,MAN
289,elliskathleen,54,USA,01/15/2024 12:16 AM,The author is a freelance writer and editor. She has a Bachelor of Arts,10,0,ENG
290,kenneth11,40,Russia,06/17/2012 08:26 AM,"I am a photographer, writer, and traveler. I have been photographing",5080,22,FRE
291,andersonashley,60,USA,05/18/2019 11:51 PM,I am a travel writer and photographer. I have been traveling for over 15,6517,1,MAN
292,zmartin,61,China,05/17/2016 11:57 PM,The Republican Party is the party of the rich and the powerful. It is,8627,10,MAN
293,irhodes,42,Japan,09/08/2022 07:38 AM,The first ever event for the new generation of developers.:,274,3,JAP
294,brownthomas,18,Italy,05/11/2018 06:43 PM,The author is a political scientist and a political analyst. He is a political,3161,32,ITA
295,1998_xarnold,31,Netherlands,09/17/2022 02:01 AM,The first and only female president of the United States.**,265,11,NED
296,jamesjose_1963,29,Russia,02/17/2021 05:48 AM,"James J. Sexton, a former U.S. Marine,",2640,5,ENG
297,1952_zlittle,,Germany,07/24/2012 05:00 AM,"The Federal Reserve Bank of New York, New York, New York, is",14140,65,NED
298,anthony47_1997,49,Japan,08/03/2023 08:16 AM,"The author is a professor of political science at the University of California,",38,1,FRE
299,1965_brandtsteven,,UK,11/17/2020 06:38 AM,The brandtstevens are a family of German-American artists,1345,2,ENG
300,carl15,37,UK,05/07/2008 07:55 AM,The Republican Party is the party of the people. It is the party of,317,2,ENG
301,erichoward_1954,31,China,04/26/2010 01:53 PM,The first of the two-part series on the history of the American Civil,20935,101,FRE
302,bvillegas,48,France,01/12/2013 06:58 PM,The author is a biologist and a professor of biology at the University of California,1787,102,FRE
303,kimberlyrogers_1984,64,USA,12/17/2010 09:13 AM,The author is a retired veterinarian. She has been a Republican since the early,9140,15,FRE
304,1978_leroy79,19,Italy,06/18/2011 01:36 AM,The job of the future is to make the world a better place.,14232,23,ITA
305,weissdavid_2002,65,Germany,05/31/2015 01:25 AM,"The author is a professor of political science at the University of California, Berkeley",3241,32,GER
306,hsalinas,18,China,02/06/2012 08:16 PM,The Republican Party of the United States of America is the political party,3940,30,MAN
307,brandonanderson,25,Italy,07/22/2022 12:03 AM,The candidate is a senior manager with a proven track record of success,296,4,ITA
308,bethpatterson,61,Japan,08/30/2009 12:57 AM,The author is a senior research analyst at the Center for Economic and Policy Research,12876,6,ENG
309,vanessa79_1990,,UK,05/06/2022 09:16 AM,"The company is a leading provider of high-quality, innovative,",394,3,RUS
310,bushmichael_1960,32,Netherlands,05/08/2022 03:11 AM,The president of the United States is a man who has never been shy,20,3111,NED
311,carterkaitlin,22,France,11/14/2023 12:56 AM,The author is a former Republican member of the U.S. House of,3,203,RUS
312,1977_sarahkennedy,21,USA,09/02/2009 01:31 AM,"The first ever women's rugby union team from the United Kingdom, the England",1561,50,MAN
313,joshua02,20,Japan,09/17/2013 12:53 PM,":, :, :, :, :, :, :, :",10442,23,JAP
314,1957_shill,31,UK,09/26/2011 08:57 AM,"The Republican Party is the party of the people, the party of the people",1641,60,ENG
315,pthomas_1970,,UK,09/08/2023 02:36 AM,The CEO of a global software company is looking for a new position. The,116,1,ENG
316,1978_robinsonfranklin,45,USA,03/20/2011 09:49 AM,The author is a retired veterinarian who has been a member of the American,15247,20,ENG
317,1959_bruce22,37,Japan,02/05/2009 04:05 AM,The first of the two new species of the genus _Cyn,21244,16,JAP
318,melissaallen,23,,03/13/2017 10:26 AM,The University of Minnesota is a public research university located in the Twin Cities metropolitan,6170,10,ENG
319,ryan14,,USA,02/22/2023 07:47 AM,"I am a business owner, entrepreneur, and a self-made man.",468,2,ENG
320,1996_aperry,39,China,01/08/2024 08:14 PM,The annual conference of the Association for the Advancement of Artificial Intelligence,7,0,MAN
321,jensengabriel_1996,50,UK,08/31/2011 10:27 AM,The author is a professional writer and a sports journalist. He is a member,23301,72,ENG
322,rblake_2003,39,Italy,11/19/2010 07:04 PM,I am a freelance game developer and I am currently working on a,14653,54,MAN
323,ericwhite_1956,32,,08/29/2013 03:33 AM,"The game of chess is a game of strategy, and the game",1449,51,ENG
324,zbrewer_1951,41,Japan,01/31/2022 01:22 AM,The first of the two men to be killed in the World War II bombing,998,3,JAP
325,scott07,58,Italy,04/10/2019 01:27 PM,"I'm a gamer, a photographer, and a writer. I'm a",2707,0,ITA
326,zwright,47,France,07/13/2013 06:42 AM,"The first ever “Wildlife Photography” workshop in the UK,",5421,52,GER
327,gloria03_1959,59,France,07/15/2014 11:21 AM,"The first female president of the United States, the first woman to hold",12649,31,FRE
328,gomezrachel,,Italy,07/22/2021 08:46 AM,The event is a great opportunity to meet new people and get to know the,280,18,NED
329,ddaniels,36,Netherlands,06/10/2010 09:11 AM,I am a full time student at the University of South Florida.,12643,31,MAN
330,mark84_1986,86,China,12/24/2009 05:30 AM,The first of the two new series of the BBC's popular quiz show,12001,76,ENG
331,1983_lopezbrent,64,Japan,07/22/2022 08:33 PM,The game is a 2D platformer with a lot of action and,888,4,JAP
332,megantaylor_1999,56,USA,10/14/2013 05:43 AM,"I am a gamer, and I love to play games.",15521,42,ENG
333,amyfowler_1995,54,China,01/04/2023 07:47 PM,The author is a freelance writer and editor. He has written for a variety,755,0,MAN
334,qgardner_1956,32,France,11/17/2015 04:50 AM,The author of this article is a professional photographer and a member of,5232,7,FRE
335,barrdaniel_1952,49,France,02/23/2009 11:24 PM,The first game I ever played was a game called The Game,8685,1,FRE
336,timothyjackson,54,Russia,03/14/2008 08:39 AM,"I am a photographer, and I am a sports photographer. I am",2490,111,RUS
337,ynorris,55,Russia,03/19/2011 11:59 AM,The first thing that comes to mind when you think of the name,18572,111,RUS
338,diaztony,26,USA,09/13/2019 10:46 PM,"The first ever online game of the year, the World Cup of Hockey,",936,11,FRE
339,tina07,45,France,05/22/2014 03:06 AM,The first ever “Festival of the Future” is,3351,23,JAP
340,ccastaneda,33,USA,10/01/2014 08:37 AM,"The Republican Party is the party of the people, the party of the people",14543,12,ENG
341,smathis_1950,73,UK,06/29/2009 11:54 PM,The first of the two-part series on the history of the sport of,504,30,ENG
342,kimberlyestes,,UK,04/11/2009 05:00 PM,The Margin is a new business that is designed to help small businesses grow,937,55,ENG
343,ehodges_1984,40,France,04/22/2020 12:04 PM,"The game is a game of strategy, and the player is the",1809,6,FRE
344,anita03,17,Russia,11/14/2013 10:48 AM,"I am a young, energetic, and ambitious woman who is looking for a",3901,0,MAN
345,vwilliams,18,Russia,01/19/2013 07:38 PM,"The Republican Party is the party of the people, the party of the people",5662,8,RUS
346,oromero,36,Russia,06/02/2016 05:40 PM,"I am a travel blogger, and I love to share my experiences and knowledge",3231,31,ITA
347,pattondean_1950,,,06/25/2022 07:55 AM,The job offer is for a position in the Finance Department. The,2011,9,MAN
348,sabrina26_1988,,Italy,10/21/2016 09:57 AM,The Republican Party is the party of the rich and the powerful. It is,6405,30,ITA
349,cameronhurst,34,UK,08/05/2014 04:29 PM,The first of the two new galleries in the new building of the Museum of,1648,88,ENG
350,lawrence83,18,USA,02/24/2012 01:21 PM,The most important thing is to be able to play the game. If,8014,17,ITA
351,kimmiller,55,Russia,05/01/2017 10:44 AM,"The first ever event for the new game, The Game Awards,",491,2,FRE
352,brownrobert_1968,29,Netherlands,07/05/2023 06:50 PM,"I'm a young, handsome, and very smart guy. I'm a",24,1841,ENG
353,james52,29,China,07/07/2010 06:11 PM,The Republican Party is the party of the rich and the powerful. It,769,18,GER
354,sprice,44,Netherlands,03/13/2021 04:23 PM,The job of the President of the United States is to make sure that the,3061,3,JAP
355,1984_olsoncarol,,China,11/25/2014 04:16 AM,"The Republican Party is the party of the people, the party of the people",2428,68,MAN
356,cjones_1957,16,Russia,08/25/2011 06:11 AM,The first ever World Cup of Golf was held in the United States,1465,57,RUS
357,susan86,24,Italy,02/26/2009 03:26 AM,"I am a photographer, I love to travel, I love to take pictures",21034,11,ITA
358,1989_acostakenneth,37,Germany,01/01/2017 07:59 AM,"The game is a game of survival, and the player is the hunter",11902,30,JAP
359,samantha10,56,Netherlands,01/28/2020 07:55 PM,"I am a very active person, I love to travel, I love to",1597,15,NED
360,bradleystephens_1975,30,USA,11/18/2023 10:56 AM,A:I think you can use the following:,10,1,ENG
361,jenkinsnancy_1964,46,Italy,05/09/2012 06:42 PM,The event is a fun and educational way to learn about the history of the,3281,45,GER
362,rodriguezchristina,23,France,07/17/2015 02:58 PM,"The first and only female president of the United States, Michelle Obama, has",3269,41,ENG
363,andrea64_1980,35,Netherlands,07/25/2016 09:22 AM,I am a travel writer and photographer. I have been traveling for,3918,28,JAP
364,jacob02,63,Germany,05/28/2021 04:30 PM,"I am a very active member of the community, and I am",1580,11,JAP
365,kyleadkins,22,Russia,02/07/2015 11:57 AM,"I'm a gamer, a traveler, and a writer. I'm a",4322,11,FRE
366,currystephen,28,Japan,09/13/2015 11:11 PM,I am a full time student at the University of Toronto. I,4917,39,JAP
367,kimderrick,,UK,11/03/2016 04:25 PM,The Federal Reserve Bank of New York is the central bank of the United States,10890,4,ENG
368,nicole94_1995,24,Russia,03/30/2015 12:09 PM,"The game is a game of strategy, and the players are the players",3925,56,RUS
369,gpowers_1953,89,,02/16/2023 07:24 PM,The first ever World Cup of Golf was held in 1953. The,1026,1,NED
370,ubyrd,70,Germany,05/04/2019 10:30 AM,"The first of the three great books of the Bible, the Book of",7712,34,FRE
371,rachelrobinson,31,Germany,12/08/2021 03:00 PM,"The Republican Party is the party of the people, the party of the people",2143,1,FRE
372,1990_davissandra,24,France,09/27/2008 01:33 AM,"The Republican Party is the party of the people, the party of the",7249,13,FRE
373,1972_donnabryant,45,China,09/18/2014 12:15 AM,'The author is a zoologist and a professor of zoology at the,2728,10,MAN
374,ericclark,37,Russia,12/05/2018 06:59 PM,The first thing you should know about this site is that it is a photo,4121,3,RUS
375,valerieglover,,Netherlands,09/17/2021 05:10 PM,The event is a great opportunity to meet new people and get to know the,234,5,FRE
376,cjohnson,31,UK,02/26/2016 03:39 AM,The Republican Party is in a state of flux. The party is in,3004,5,ENG
377,jennifer13_1976,32,UK,11/20/2022 09:35 PM,The first of the two new images to be released by the National Geographic,725,11,ENG
378,whitestephanie_1994,,Germany,12/18/2016 06:18 AM,The first thing I noticed about this picture was the fact that it,11294,9,GER
379,2002_kevinmatthews,36,UK,11/14/2016 07:02 PM,The author is a retired U.S. Air Force officer and a,3854,31,ENG
380,zgarcia,56,Netherlands,11/24/2019 03:04 PM,"The game is a real-time strategy game, where you have to build",1225,17,NED
381,jacqueline18,32,Germany,01/09/2017 10:25 PM,"I am a very active person, I love to travel, I love to",6950,7,ITA
382,jwade,58,Germany,08/24/2016 04:51 PM,I am a sports journalist and photographer. I have been working in,6788,19,GER
383,goodwinpatricia,,Russia,09/17/2015 07:58 PM,The event is a great opportunity to meet other members of the community and get,1336,21,FRE
384,1957_darrell57,45,USA,04/05/2015 11:04 AM,The first of the two-part series on the life and times of,9881,50,MAN
385,melissa04_2004,37,Netherlands,06/06/2015 10:08 AM,"I'm a girl who loves to play games, and I'm",513,40,NED
386,1961_gravesjohn,52,UK,09/16/2008 02:35 PM,"The game is a game of strategy, and the player is the",4819,12,NED
387,richardsonmatthew_1970,45,UK,07/04/2016 02:27 AM,"The first ever British team to win the World Cup in the 50s,",4918,24,ENG
388,andrea89,73,Italy,09/22/2014 12:22 AM,I am a professional photographer and I am looking for a job in the field,2112,9,NED
389,sandersjohn,59,UK,12/06/2014 07:43 AM,I am a professional photographer and I have been shooting for over 10,3995,84,ENG
390,1965_hespinoza,19,China,03/08/2013 11:29 PM,"The Italian government has been trying to get the Italian people to travel more,",1520,76,JAP
391,ureynolds,28,Italy,03/29/2012 02:38 PM,The event is a fun and interactive workshop that will introduce you to,3707,9,ITA
392,eshelton,24,Germany,05/26/2012 09:33 AM,"The University of South Carolina is a public research university located in Columbia, South",993,64,JAP
393,hillkaitlyn,28,Japan,05/01/2021 02:53 AM,"The Republican Party is the party of the people, the party of the people",336,20,JAP
394,millsnicholas_1974,21,France,02/24/2014 09:34 PM,The author is a former Republican member of the U.S. House,3061,25,FRE
395,hendersonjenna,31,Russia,11/14/2017 07:32 AM,The best place to see the world's most beautiful animals is in the wild,2222,17,RUS
396,1962_katieestrada,22,Italy,07/01/2021 02:23 AM,"The Republican Party is the party of the people, the party of the people",1731,2,ITA
397,katie19,29,Germany,08/19/2012 08:02 AM,"I am a full time student at the University of Toronto, studying",3805,156,GER
398,katherinenolan,44,UK,10/29/2022 09:52 AM,The event is about the Republican Party and the future of the Republican Party.,398,2,ENG
399,earnold_1969,,Italy,03/02/2023 04:38 PM,The job offer is for a position in the Finance Department. The position is,582,1,ITA
400,rhodesderek,51,Japan,04/28/2020 06:16 AM,"I am a Ukrainian journalist, writer, and blogger. I am",133,30418,ENG
401,wandagross_1993,,UK,11/24/2022 05:11 AM,The company is a global provider of software and services for the financial services industry,569,5,NED
402,nicolepatterson_1995,,Italy,10/21/2018 07:20 AM,"The author is a professor of economics at the University of California, Berkeley",718,1,ITA
403,kanesean_2000,51,Japan,06/05/2021 10:39 AM,The first of the two-part series on the history of the Japanese,1230,2,FRE
404,peter16,44,Germany,12/08/2023 08:37 PM,"I am a fun loving, creative, and creative person. I",172,1,GER
405,kevinalvarez,36,Italy,08/11/2011 08:29 PM,The most important thing to remember is that the game is not about,16232,72,ITA
406,lking,31,UK,12/16/2011 10:18 AM,"The best place to find out about the latest news, events, and happen",7799,41,GER
407,akelly_2001,18,France,01/04/2016 05:36 PM,The author is a political scientist and a political commentator.**_,4424,26,FRE
408,matthew41,49,UK,05/29/2023 04:38 PM,Job:Job Description:Job Description:,188,3,ENG
409,1967_wstevenson,63,Germany,12/07/2011 11:22 PM,"The game is a game of skill, and the player is the master",15011,4,GER
410,melanie07_1965,21,France,12/05/2014 10:59 PM,The Republican Party is the party of the people. It is the party of,2857,40,GER
411,noliver_1975,,Netherlands,07/27/2015 04:23 PM,"The author is a member of the faculty of the University of California, Santa",4718,61,RUS
412,1964_daniellepeterson,29,Germany,03/24/2017 06:14 PM,"I am a photographer, and I am also a gamer. I love",7294,16,ENG
413,amywright_1995,35,UK,04/15/2021 11:11 AM,The author is a British writer and journalist. He has written for the,1760,7,ENG
414,tylergarcia,39,Russia,03/05/2019 06:45 AM,The best of the best in the world of football.The best,6266,25,RUS
415,tstone,,USA,05/09/2012 08:15 AM,The event is a great opportunity to meet new people and get to,14784,39,ENG
416,sue57_1965,22,Italy,09/26/2010 06:45 PM,"The first ever event for the new game, the first ever event",5154,28,ITA
417,1987_awilcox,71,Germany,05/27/2015 06:35 AM,The first of the two-part series on the life and times of,8270,1,GER
418,melissagutierrez,23,,02/23/2013 10:26 AM,The first time I saw the movie The Matrix I was like,1139,22,FRE
419,john05,35,Netherlands,12/01/2018 11:43 AM,"I am a senior at the University of Michigan, and I am a member",6561,21,NED
420,richard72_1988,,France,08/28/2020 06:08 AM,"The game of poker is a game of skill, and the best players",18,19,FRE
421,briancobb,22,China,03/15/2019 02:05 AM,"I am a professional photographer, I have been working in the field",4606,22,MAN
422,1997_carlnash,29,Italy,05/13/2010 02:55 AM,The first of the two-part series on the life and work of,14043,70,ITA
423,1956_heatherbright,72,USA,08/21/2022 10:39 PM,The first ever women's rugby union international was played between England and Scotland on,569,1,ENG
424,brianolson,45,Italy,08/16/2012 04:43 AM,"I'm a gamer, a traveler, and a lover of all",6581,14,ITA
425,brittanywalker,29,Japan,12/10/2009 12:02 AM,"I'm a freelance writer and editor, and I'm currently working on a",9430,36,FRE
426,1970_maryedwards,39,Germany,01/31/2012 08:33 PM,"The first of the two new books in the series, _The Photographer",1603,46,ENG
427,dholder_1998,34,China,06/25/2022 04:52 PM,The first thing I noticed was the lack of a proper name for,235,8,ENG
428,sonyasimon_1982,29,France,03/03/2013 03:25 PM,The game is a fun and easy to play game. The game,3111,4,FRE
429,1971_zdaniel,64,UK,10/13/2010 05:15 PM,The first part of this article is a short profile of the artist Daniel,3129,74,ENG
430,brendawarner,29,Netherlands,11/02/2010 09:20 AM,The author is a former professional athlete and a former professional wrestler. He is,8601,44,ITA
431,qnixon_1961,,Netherlands,06/06/2012 04:46 PM,"The first of the two photographs of the famous American artist, John Singer",12307,7,NED
432,lisahayes,,UK,12/29/2019 03:28 PM,"The event is about the history of the city of Tijuana,",4675,7,ENG
433,gpetty,,Netherlands,01/22/2015 10:11 PM,"The Republican Party is the party of the people, the party of the people",3356,34,GER
434,ashleyjohnson,64,China,08/27/2016 08:46 PM,"I am a gamer, and I love to play games. I",36,32,JAP
435,qward,49,France,03/26/2016 08:17 AM,The best place to find the best of the best in the world of sports,10150,13,FRE
436,flowersjulie,54,Italy,03/02/2021 11:54 AM,"I am a professional photographer, I have been working in the field",2500,4,ITA
437,michaelavila_2002,44,UK,11/17/2016 06:04 PM,"Michael Avila, a.k.a. The Godfather of",5391,25,ENG
438,1985_michael23,51,China,10/29/2019 02:24 AM,Michael is a photographer who has been working in the field of photography for over,3663,17,RUS
439,zbrown,36,Japan,10/21/2021 03:19 PM,"The event is a fun, casual, and social event for all ages.",544,12,ITA
440,samuel88,26,Germany,12/17/2012 02:30 PM,"The Republican Party is the party of the people, the party of the people",4933,48,MAN
441,craig28_1973,46,USA,11/08/2009 03:37 PM,The first ever full-length documentary on the life and times of the legendary,8950,78,ENG
442,michellejohnson,60,Germany,09/26/2011 02:28 PM,"The first woman to be elected to the U.S. Senate,",12319,52,GER
443,lindseybennett,50,Germany,01/17/2013 09:39 PM,The first thing you notice about the new season is the new uniforms. The,952,28,GER
444,micheal91_1987,16,Japan,10/24/2015 12:11 PM,"The Republican Party is the party of the people, the party of the",3667,45,ENG
445,rrodriguez_1995,76,China,06/29/2022 06:37 PM,The game is a strategy game in which the player controls a small,267,4,MAN
446,barkerdavid_1995,39,USA,04/06/2013 03:12 PM,"The author is a professor of English at the University of California, Santa Barbara",301,40,MAN
447,jeremy61,34,UK,06/06/2018 08:20 AM,"I am a very friendly, outgoing, and fun person. I am a",686,28,ENG
448,kenneth25,,Italy,12/30/2017 08:15 PM,The Good Vibes is a weekly podcast that explores the best of the,2927,17,ENG
449,melissamartin,50,Japan,12/17/2020 12:47 AM,"I'm a gamer, a gamer, a gamer, a",1792,5,JAP
450,cynthiawells_1973,47,Japan,01/05/2013 01:23 PM,The author of this book is a professional photographer. She has been a professional,5478,16,JAP
451,1987_fernando89,85,USA,07/22/2018 08:01 AM,"The first time I saw the movie, I was like, 'Oh",1250,8,ENG
452,1990_wilsonrobert,,Japan,02/27/2013 07:46 PM,"The author is a writer, editor, and publisher. He is the author",3202,16,ENG
453,longallison,61,Germany,11/01/2017 06:19 AM,"'A photographer, writer, and travel writer, who has been travelling the",1519,6,JAP
454,davilagary_1954,53,France,05/19/2012 06:05 PM,"The first ever international sports festival in the city of Kolkata, the",11365,6,FRE
455,jonweaver,22,Germany,09/12/2022 02:55 AM,The best of the best in the world of sports.The best,539,4,GER
456,1960_juliejohnson,,USA,11/07/2014 03:51 PM,The Fiscal Year of 1953-1954 was the first year of the,1702,16,RUS
457,1994_julie22,,Russia,05/21/2010 09:41 AM,"The first ever international conference on the conservation of endangered species and their habitats,",17903,23,RUS
458,xjohnson,41,USA,12/10/2008 12:50 PM,Job Description:Job Description:Job Description:,6498,44,ENG
459,wandamitchell_1954,43,France,12/27/2016 05:55 PM,The species is endemic to the island of Mauritius. It is,3348,34,FRE
460,scott20,,France,05/29/2021 05:27 AM,"I am a full time student at the University of California, Berkeley. I",806,3,RUS
461,uroberts,52,Netherlands,03/15/2016 08:44 PM,"The game is a real-time strategy game, where you have",2090,47,JAP
462,bonniegonzalez,24,France,06/05/2009 01:19 PM,The author is a writer and a gamer. He is currently working on a,9047,5,FRE
463,mathiscaitlin,110,UK,03/28/2023 12:15 PM,The author is a biologist and a political scientist. He is a member of,348,0,ENG
464,1976_mrobinson,24,USA,03/10/2019 02:20 PM,The first ever conference on the history of the sport of rugby union was held,3342,5,ENG
465,john99,30,Russia,06/06/2010 11:16 AM,"The game is a real-time strategy game, where you control",2121,69,RUS
466,scott01,51,France,04/21/2020 05:30 PM,"I am a photographer, I am a photographer, I am a photographer,",1017,12,ITA
467,1964_lmarshall,,Japan,01/02/2011 05:50 AM,"The L.M. Marshall Company, Inc. is a manufacturer of",6370,26,JAP
468,shannon02,89,Netherlands,11/10/2010 03:20 PM,"The Republican Party is the party of the people, the party of the people",4669,0,ENG
469,john32,48,UK,10/12/2014 09:16 AM,"The Republican Party is the party of the people, the party of",13676,26,ENG
470,judy04_1996,89,Netherlands,02/20/2010 09:56 PM,":,",8388,14,NED
471,melissaking,73,Germany,07/03/2019 10:09 PM,"I'm a girl who likes to play games, and I'm a",5218,21,GER
472,christopher14,34,China,09/18/2023 02:11 PM,"I am a Republican, and I am a Trump supporter. I am a",15,501,MAN
473,georgejames,45,UK,04/29/2010 07:27 PM,"The George Washington University is a public research university located in Washington, DC.",163,139,JAP
474,1953_timothy29,30,Germany,06/03/2021 05:35 PM,The first time I saw the president of the United States was in the,7,617,GER
475,ryanbennett,23,Germany,11/08/2021 09:23 PM,The author is a former senior adviser to President Donald Trump. He is the,79,2662,GER
476,1999_williamsjose,69,UK,10/14/2015 06:47 AM,"The author, a former Republican, is a former member of the U",5523,22,ENG
477,qmorales,38,Netherlands,08/13/2011 01:04 PM,"The first ever online game to be developed by a woman, the game is",1113,2,GER
478,wsmith_1972,30,Germany,08/06/2017 01:33 PM,The Republican Party is in a state of flux. The party is in a,5429,55,GER
479,1959_nhuang,65,USA,07/13/2021 07:26 PM,The following is a short profile of the author of the book ,1317,33,ENG
480,mccoykimberly,66,Germany,01/02/2022 03:23 PM,"I am a full time student at the University of Maryland, College Park.",1828,4,GER
481,1989_anthonybell,66,USA,12/09/2016 05:56 PM,The first of the two-part series on the life and work of,2457,4,ENG
482,1992_ugaines,50,USA,09/19/2013 02:23 AM,"The first of the two-day events, the annual meeting of the",1033,31,ENG
483,brookeharper,56,UK,02/19/2023 01:19 AM,The author is a former senior adviser to the U.S. State Department,41,2274,ENG
484,1972_cameron13,,Germany,09/16/2017 10:46 AM,The first ever event in the history of the world's largest and most successful,251,69,GER
485,robertsweeney_1964,,Italy,08/03/2018 08:18 AM,"The author, a former U.S. Marine, is a former",2862,43,ENG
486,1962_millerleslie,59,USA,02/14/2014 02:20 PM,The Miller-Lewis-Lane (MLL is a small,3879,74,ITA
487,mortonalan_1989,33,China,02/05/2009 07:38 PM,"The author, who is a photographer, has been working in the field of",8581,52,GER
488,wrodriguez,59,,04/10/2011 07:43 PM,The author is a veterinarian and a professor of veterinary medicine at the University of,3337,33,ENG
489,jacksontracey,43,China,10/27/2014 06:34 PM,"The first ever, and only, fully-automated, fully-",1357,18,RUS
